created_at,text,username,screen_name,verified,followers_count
Tue Oct 19 23:02:41 +0000 2021,$NIO $40 proving to be a strong resistance for this stock. So far bulls got rejected but could soon have another attempt to break it. If that does not happen I could see a pullback taking place next. Break above $40 and we see new highs https://t.co/Oege0z5JKC,AlvinC,AlvinC9844,False,18
Tue Oct 19 23:02:41 +0000 2021,"i can't believe mfs had babysitters... i grew up with ""don't open the door unless its me"" ",onikadawll,onikadawll,False,874
Tue Oct 19 23:02:41 +0000 2021,@PLAZMAKIT I'm always smol :3,Sai,Saiai,False,131
Tue Oct 19 23:02:41 +0000 2021,@Dtopbeautyworld @KeremBursin I vote #KeremBursin from Turkey for #100MostHandsomeMen2021 #TBworld2021 b73,Helen Oliveira 💛 8M - Thank you SÇK 💛,HelenRibPreto,False,1352
Tue Oct 19 23:02:41 +0000 2021,@TagamiYoshihisa Are you the man behind this masterpiece? I am a big fan. https://t.co/Qp0WpTo3nZ,GrampieTicTacToe,TTT_warrior_xox,False,37
Tue Oct 19 23:02:41 +0000 2021,I love me a fun nigga   let's go places,Princess 🌸,adrianne_lenae,False,371
Tue Oct 19 23:02:41 +0000 2021,"i be like ""i can't wait for fall fits"" then fall comes and i dress like this https://t.co/dJPaSYj3Ao",chelsea,chelsea_bannon,False,261
Tue Oct 19 23:02:41 +0000 2021,We are so grateful for our partnership with @apsupdate to ensure children in Atlanta have a strong start. We all have a role to play. @PAACTatl @GEEARS @DrLisaHerring @TauheedahBaker #makethepaact,Bridget Bailey Ed.S,bridget92070,False,1486
Tue Oct 19 23:02:41 +0000 2021,It's mad that I can't fall asleep until 1amI wanna feel fresh tomorrow,misan,origho49,False,462
Tue Oct 19 23:02:41 +0000 2021,@Kaysitsofe @RichloveOwusu11 I'm the boss ,Reddintin😎,PHDcounselor,False,630
Tue Oct 19 23:02:41 +0000 2021,"The miscreants had a field day, damaging the vehicles. https://t.co/raXDEIsG8d",HariTheCop5,HariTheCop5,False,53
Tue Oct 19 23:02:40 +0000 2021,"Congratulations to 3M #YoungScientist Challenge winner, 13-year-old Sarah Park! She developed Spark Care+, a music therapy treatment that helps people find music that heals. Give Sarah &amp; our top ten finalists a ! Learn more about her winning project: https://t.co/iPBxjUeacQ https://t.co/mxPs8WTNOB",3M,3M,True,1382111
Tue Oct 19 23:02:41 +0000 2021,"remember when twenty one pilots went viral for their phone pinching vines but not everybody knew it was them at the time, so people assumed they were ""a random man, and an invincible young guy"" https://t.co/vkxbsH1J2P",spooky liz MEL SOPLA LA VELA,scaledline,False,1625
Tue Oct 19 23:02:41 +0000 2021,Leftism flash cards,JB,jerrybradshaw,False,955
Tue Oct 19 23:02:41 +0000 2021,i got bored waitinf for genshin to install and my@laptop is dead so https://t.co/w4JQce8EhM,hazel ☆,haznutlatte,False,406
Tue Oct 19 23:02:41 +0000 2021,He is telling a random person on the street about his latest Instagram constantly,WhatIsHarryDoing,harrys_hiatus,False,33
Tue Oct 19 23:02:41 +0000 2021,Looking For a coach for Vanguard season  for @TeamInfinity_US academy roster dms open tell me your exp with teams be looking at all options @FindAClanHQ @FindHQs @UrNmOLT @NGE_Connect @NACAL_COD @ScrimFinder @8s_and_scrims @CoDFAsRT @CoDFAs @CoDFreeAgentss @CoD_RTs @ColdWarRTs,#GameChangers,NGE_Connect,False,10655
Tue Oct 19 23:02:41 +0000 2021,"when someone says to me ""i bought this because i know that you like it"" https://t.co/4wpXO3lsXr",$Jasmin$,JazzieeCouture,False,194
Tue Oct 19 23:02:41 +0000 2021,I love the nba. Games haven't even started yet and this season is crazy,Reilly,McDReilly97,False,249
Tue Oct 19 23:02:41 +0000 2021,If you try to talk women out of taking protective measures for their safety... you aren't a man of God.Even God equips His daughters with a sword  &amp; teaches us to guard our hearts by putting on the full armor &amp; keeping Him at the forefront of our minds + center of our hearts.,T.J.,RKO_2004,False,862
Tue Oct 19 23:02:41 +0000 2021,@John_J_F_Keil Lmaooo. I really surprised that y'all surprised. ,T🧜🏾,vcsenorita,False,158
Tue Oct 19 23:02:41 +0000 2021,"Today welcomes the highly anticipated release of the #SixTONES_oneST concert DVD &amp; Blu-ray! Shot amidst the the in-person fan energy of the Yokohama Arena during their incredible 2021 summer tour, it's a perfect testament to everything #SixTONES' debut album #1ST had to offer! https://t.co/kwMkJXleJO",ほっくんたん🦅,ssreri31sfl,False,308
Tue Oct 19 23:02:41 +0000 2021,"I make fun of xiao but HE'S TALLER THAN MEAnw barbara, noelle, sucrose, xinyan, yanfei",angel ♥︎'s xiao (102/180),i4aIatus,False,200
Tue Oct 19 23:02:41 +0000 2021,@technolapin @OskSta @tristan_elwell Technique is a method to express your ideas. Understanding technique moves you towards your goal of expression. It should not be on a pedestal but it should not be belittled. Practice is technique,MrSingularity9000,singularity9000,False,13
Tue Oct 19 23:02:41 +0000 2021,I asked a few days ago what you guys would miss the most (if?) when it all fell apart.For me...music. The ease of having any song/album available on demand.And soap. I don't look forward to making my own.,Slaughterhouse Skillet,ButtholeOutlaw,False,1882
Tue Oct 19 23:02:41 +0000 2021,"Lions  it's time to focus on Liquorose, no more unnecessary dragging Let peace reign  I know why I am saying this let peace reign Lions WINNEROSE #PickUpLineForLiquorose#BBNaija",emmarose I stan😍,crazygirl2344,False,85
Tue Oct 19 23:02:41 +0000 2021,Y'all really let her slide with the drugging men's drink shit and now she's taking shots at a fellow cell mate,Let's have the Hex talk Ah 👅,Des_Baddie,False,304
Tue Oct 19 23:02:41 +0000 2021,Check out the photo I just liked on AdultFolio https://t.co/nu2wgw2f6O,Yorkie Tog,petemorell1,False,31
Tue Oct 19 23:02:41 +0000 2021,@thegraceilana I hate texting my story ,One Hustling A$$ Mom💰,teeemoney__,False,4525
Tue Oct 19 23:02:41 +0000 2021,@Transsunny BARK BARK BARK I WILL FUCKING BITE SOMEONE BARK,andrew (SORAS YOUR SMASH REAL),andrewwtca,False,234
Tue Oct 19 23:02:41 +0000 2021,"@BauvariBevarus @phantom I think there's a good chance  of recovery, I suggest you reach out to #Cyberhelp003 on Instagram. they are experts in recovering hacked, deleted, banned, and suspended accounts  https://t.co/MocrtVD54h or on twitter @cyberhelp003",Jayne Gaddis,babyjayneg06,False,1
Tue Oct 19 23:02:41 +0000 2021,I dreamt looking for my late brother.I want to visit his gravesite but  l don't know what l will say when l get there,Whistle Blower 🇿🇦,sikhosanasa,False,9145
Tue Oct 19 23:02:41 +0000 2021,I will send one random person $500 in 72hrs all you have to do is RT and be following myself &amp; @bull_bnb Turn  on for both of usWelcome to #LEOSARMY ,Grace Cliff,gricid94,False,425
Tue Oct 19 23:02:41 +0000 2021,"@elise_flowers I love you Elise! Never ever worry about that!  And I love your baskets, so much  woven in!I'm sending you a teeny tiny baby monstera w/a really good root system &amp; travel better. I'm only sending a piece of the stalk bc it will grow fast(er) w/your insanely green thumb! https://t.co/saaQPZQmyn",Elise Flowers,elise_flowers,False,5728
Tue Oct 19 23:02:41 +0000 2021,"@LucyACarson I'm praying for her deliverance because honestly....deep in my heart of hearts, in this 22nd month of 2020 I get it",Ciji W,MzZzCali,False,784
Tue Oct 19 23:02:41 +0000 2021,y'all know those blanket hoodie thingsi want oneyeah thats all bye,jj is tired | 🎗,incendiariux,False,45
Tue Oct 19 23:02:41 +0000 2021,"@ChampionsLeague You are two elements. I did not understand how Riyad Mahrez, the best player on the field, did not take it, even last year, in several interviews. https://t.co/YkWYZMSh60",ryad,ryad98411848,False,23
Tue Oct 19 23:02:41 +0000 2021,Everyone please Do Not buy from a scalper the Xbox mini fridge will be available in store from December.#XboxMiniFridge #XboxSeriesX,Shannon Giblett,Shanoobis,False,92
Tue Oct 19 23:02:41 +0000 2021,"@ChrisMegerian @MaryWebb7 It's hilarious (or sad) how people will try every kind of dangerous quack method to lose weight, yet they hesitate take a vaccine, that many millions of people have already taken safely, to save lives ",HeartofRocks,ActiveFiltering,False,52
Tue Oct 19 23:02:41 +0000 2021,"@syreplanet @CymCymAlt @royaltyyoungboy @69420_WRLD Go inbox Support_Cyber12 fast on instagram he is fast and reliable on hacked, disabled and suspended accounts tested and trusted i believe him so much",Ruben Mejia,capoverdolaga,False,3
Tue Oct 19 23:02:41 +0000 2021,"@Sacrilegious_D I sin as often as possible; I am in an open marriage to a pansexual.  I'd like to commit adultery once a day at least and double down with an occasional orgy.Been near death including busted skull but that was due to violence perpetrated by transphobic a-holes, not a sky faerie.",Veronica: Union Proud Grandma 4 worker solidarity,DJVeronica,False,240
Tue Oct 19 23:02:41 +0000 2021,It's not gonna spank itself  Sub to my onlyfans &amp; get a free explicit vid  https://t.co/MQhXemnGk5,Tallulah,peachparade67,False,1404
Tue Oct 19 23:02:41 +0000 2021,Man lives in Pirate Studios,DJ Kyshon,kyshon_music,False,881
Tue Oct 19 23:02:41 +0000 2021,They're trying to gaslight you into believing that a collection of bureaucrats in matching outfits are a branch of the U.S. military. https://t.co/9suyoWVhBV,🎃👻Tommy Spooktacular👻🎃,NewTomWhoDis,False,980
Tue Oct 19 23:02:41 +0000 2021,This is actually an unbelievably pathetic statement.,Michael Bunting fan acc.,MapleGlazed_,False,829
